platoon_id,number_of_events,vehicle_set,test_case_duration_time
1044970,72,863020,5.3990092277526855
1045022,16,863020,5.3990092277526855
1044997,4,863020,5.3990092277526855
1045144,21,863654,4.465574026107788
1045114,20,863654,4.465574026107788
1045185,7,863654,4.465574026107788
1045201,2,863654,4.465574026107788
1045241,33,864369,11.119707822799683
1045316,22,864369,11.119707822799683
1045325,15,864369,11.119707822799683
1045354,13,864369,11.119707822799683
1045204,10,864369,11.119707822799683
1045367,10,864369,11.119707822799683
1045398,10,864369,11.119707822799683
1045226,8,864369,11.119707822799683
1045304,4,864369,11.119707822799683
1045311,3,864369,11.119707822799683
1045223,2,864369,11.119707822799683
1045545,77,865354,17.118098735809326
1045441,36,865354,17.118098735809326
1045596,30,865354,17.118098735809326
1045478,25,865354,17.118098735809326
1045530,7,865354,17.118098735809326
1045471,4,865354,17.118098735809326
1045436,3,865354,17.118098735809326
1045527,2,865354,17.118098735809326
1045664,2,865354,17.118098735809326
1045769,18,866441,5.680220365524292
1045705,17,866441,5.680220365524292
1045738,16,866441,5.680220365524292
1045804,7,866441,5.680220365524292
1045824,37,866858,7.98590087890625
1045857,20,866858,7.98590087890625
1045817,5,866858,7.98590087890625
1045821,2,866858,7.98590087890625
1045895,2,866858,7.98590087890625
1045996,46,867479,21.705079078674316
1045981,39,867479,21.705079078674316
1046071,26,867479,21.705079078674316
1046122,14,867479,21.705079078674316
1045940,11,867479,21.705079078674316
1045921,10,867479,21.705079078674316
1046149,10,867479,21.705079078674316
1045972,5,867479,21.705079078674316
1046168,4,867479,21.705079078674316
1045967,3,867479,21.705079078674316
1045961,2,867479,21.705079078674316
1045964,2,867479,21.705079078674316
1046188,2,867479,21.705079078674316
1046249,51,868429,20.13929319381714
1046288,17,868429,20.13929319381714
1046224,13,868429,20.13929319381714
1046350,13,868429,20.13929319381714
1046333,9,868429,20.13929319381714
1046283,5,868429,20.13929319381714
1046321,5,868429,20.13929319381714
1046385,5,868429,20.13929319381714
1046276,4,868429,20.13929319381714
1046326,4,868429,20.13929319381714
1046378,4,868429,20.13929319381714
1046453,4,868429,20.13929319381714
1046375,2,868429,20.13929319381714
1046408,2,868429,20.13929319381714
1046450,2,868429,20.13929319381714
1046460,2,868429,20.13929319381714
1046463,8,869764,2.916532039642334
1046481,8,869764,2.916532039642334
1046496,3,869764,2.916532039642334
1046478,2,869764,2.916532039642334
1046624,86,870441,23.59112238883972
1046501,52,870441,23.59112238883972
1046534,14,870441,23.59112238883972
1046562,13,870441,23.59112238883972
1046587,5,870441,23.59112238883972
1046781,52,871216,28.863256216049194
1046970,49,871216,28.863256216049194
1046748,33,871216,28.863256216049194
1046908,21,871216,28.863256216049194
1046872,7,871216,28.863256216049194
1046949,7,871216,28.863256216049194
1046863,5,871216,28.863256216049194
1046962,3,871216,28.863256216049194
1046967,2,871216,28.863256216049194
1047335,86,872419,80.2464509010315
1047178,61,872419,80.2464509010315
1047421,55,872419,80.2464509010315
1047246,30,872419,80.2464509010315
1047270,26,872419,80.2464509010315
1047100,19,872419,80.2464509010315
1047067,16,872419,80.2464509010315
1047164,15,872419,80.2464509010315
1047137,14,872419,80.2464509010315
1047596,11,872419,80.2464509010315
1047084,7,872419,80.2464509010315
1047265,5,872419,80.2464509010315
1047330,5,872419,80.2464509010315
1047173,3,872419,80.2464509010315
1047590,2,872419,80.2464509010315
1047638,17,873890,6.873429536819458
1047664,10,873890,6.873429536819458
1047646,7,873890,6.873429536819458
1047728,29,874442,13.420363187789917
1047691,22,874442,13.420363187789917
1047772,7,874442,13.420363187789917
1047758,2,874442,13.420363187789917
1047842,12,875231,9.711016416549683
1047814,10,875231,9.711016416549683
1047799,8,875231,9.711016416549683
1047788,6,875231,9.711016416549683
1047833,5,875231,9.711016416549683
1047785,2,875231,9.711016416549683
1047837,2,875231,9.711016416549683
1047944,63,876108,27.630678415298462
1047865,14,876108,27.630678415298462
1047910,12,876108,27.630678415298462
1047933,6,876108,27.630678415298462
1047895,5,876108,27.630678415298462
1047957,5,876108,27.630678415298462
1047966,3,876108,27.630678415298462
1047892,2,876108,27.630678415298462
1047904,2,876108,27.630678415298462
1047907,2,876108,27.630678415298462
1047979,2,876108,27.630678415298462
1048071,17,877744,8.54507303237915
1048120,7,877744,8.54507303237915
1048104,6,877744,8.54507303237915
1048062,5,877744,8.54507303237915
1048115,3,877744,8.54507303237915
1048170,170,878300,66.33939480781555
1048335,33,878300,66.33939480781555
1048372,32,878300,66.33939480781555
1048133,16,878300,66.33939480781555
1048167,5,878300,66.33939480781555
1048164,2,878300,66.33939480781555
1048277,2,878300,66.33939480781555
1048526,76,879252,82.70432090759277
1048645,57,879252,82.70432090759277
1048507,39,879252,82.70432090759277
1048865,30,879252,82.70432090759277
1048780,21,879252,82.70432090759277
1048819,20,879252,82.70432090759277
1048619,14,879252,82.70432090759277
1048925,14,879252,82.70432090759277
1048858,4,879252,82.70432090759277
1048777,3,879252,82.70432090759277
1049010,13,880612,10.763555765151978
1049035,10,880612,10.763555765151978
1049001,5,880612,10.763555765151978
1049054,5,880612,10.763555765151978
1049084,8,881138,12.12505292892456
1049111,8,881138,12.12505292892456
1049126,6,881138,12.12505292892456
1049063,5,881138,12.12505292892456
1049075,5,881138,12.12505292892456
1049102,5,881138,12.12505292892456
1049072,2,881138,12.12505292892456
1049099,2,881138,12.12505292892456
1049333,54,881915,61.80025601387024
1049192,41,881915,61.80025601387024
1049151,37,881915,61.80025601387024
1049431,22,881915,61.80025601387024
1049284,18,881915,61.80025601387024
1049273,6,881915,61.80025601387024
1049144,4,881915,61.80025601387024
1049319,4,881915,61.80025601387024
1049326,4,881915,61.80025601387024
1049428,2,881915,61.80025601387024
1049497,127,883086,80.43192195892334
1049733,68,883086,80.43192195892334
1049689,17,883086,80.43192195892334
1049823,10,883086,80.43192195892334
1049481,7,883086,80.43192195892334
1049628,7,883086,80.43192195892334
1049474,4,883086,80.43192195892334
1049682,4,883086,80.43192195892334
1049722,3,883086,80.43192195892334
1049494,2,883086,80.43192195892334
1049727,2,883086,80.43192195892334
1049730,2,883086,80.43192195892334
1049848,26,884308,14.370070457458496
1049842,2,884308,14.370070457458496
1049845,2,884308,14.370070457458496
1049968,51,884731,46.274035930633545
1050096,22,884731,46.274035930633545
1049906,17,884731,46.274035930633545
1050076,7,884731,46.274035930633545
1049944,6,884731,46.274035930633545
1050142,6,884731,46.274035930633545
1049899,4,884731,46.274035930633545
1049961,4,884731,46.274035930633545
1050069,4,884731,46.274035930633545
1050089,4,884731,46.274035930633545
1049939,3,884731,46.274035930633545
1049955,2,884731,46.274035930633545
1049958,2,884731,46.274035930633545
1050139,2,884731,46.274035930633545
1050158,17,885722,23.838364601135254
1050209,14,885722,23.838364601135254
1050236,13,885722,23.838364601135254
1050187,10,885722,23.838364601135254
1050178,5,885722,23.838364601135254
1050153,4,885722,23.838364601135254
1050206,2,885722,23.838364601135254
1050266,2,885722,23.838364601135254
1050384,41,886753,50.74570655822754
1050269,24,886753,50.74570655822754
1050328,21,886753,50.74570655822754
1050411,14,886753,50.74570655822754
1050442,9,886753,50.74570655822754
1050316,8,886753,50.74570655822754
1050369,8,886753,50.74570655822754
1050323,5,886753,50.74570655822754
1050479,5,886753,50.74570655822754
