vehicle_set_id,number_of_vehicles,creation_time_laps,type
863020,10,5.283435,random
863654,15,4.261114,random
864369,20,4.851099,random
865354,25,5.607097,random
866441,10,2.156992,random
866858,15,3.105182,random
867479,20,4.745522,random
868429,25,6.911536,random
869764,10,3.704134,random
870441,15,4.238104,random
871216,20,6.666639,random
872419,25,7.448434,random
873890,10,2.896322,random
874442,15,3.901269,random
875231,20,4.824094,random
876108,25,6.475267,random
877292,10,2.599691,random
877744,15,3.406651,random
878300,20,5.137888,random
879252,25,8.120669,random
880612,10,3.132586,random
881138,15,4.488975,random
881915,20,7.213236,random
883086,25,6.815813,random
884308,10,2.638654,random
884731,15,5.053949,random
885722,20,6.280758,random
886753,25,6.641867,random
887842,10,3.359402,random
888415,15,4.541869,random
889235,20,6.268419,random
890234,25,7.714048,random
891502,10,3.066082,random
891997,15,4.158272,random
892685,20,7.422195,random
893783,25,8.190823,random
895124,10,2.967332,random
895563,15,5.2511,random
896351,20,6.921392,random
897248,25,11.054172,random
898743,10,3.07181,random
899157,15,4.637388,random
899908,20,6.590535,random
900917,25,8.624912,random
902207,10,4.364059,random
902778,15,5.542639,random
903652,20,6.453243,random
904590,25,10.368304,random
906130,10,3.929534,random
906644,15,5.639574,random
907513,20,7.687376,random
908712,25,8.701322,random
909952,10,3.821519,random
910445,15,5.575685,random
911215,20,9.093895,random
912512,25,8.829241,random
913717,10,3.390591,random
914181,15,5.003812,random
914841,20,7.645986,random
915933,25,8.374306,random
917034,10,3.783616,random
917539,15,5.863743,random
918381,20,7.818238,random
919484,25,9.902765,random
920728,10,3.453796,random
921133,15,5.037374,random
921757,20,7.056133,random
922606,25,9.88593,random
923984,10,3.659706,random
924447,15,5.558773,random
925161,20,7.91528,random
926207,25,10.699766,random
927691,10,4.145532,random
928203,15,6.580183,random
928928,20,7.986178,random
929898,25,10.714309,random
931372,10,4.395592,random
931792,15,5.960976,random
932521,20,8.519442,random
933696,25,10.807117,random
935081,10,4.480111,random
935526,15,6.878631,random
936297,20,8.166109,random
937220,25,11.841757,random
938522,10,4.328613,random
939052,15,6.573198,random
939859,20,8.77068,random
940966,25,11.005857,random
942307,10,4.367795,random
942833,15,7.6554,random
943639,20,8.960907,random
944716,25,11.578186,random
946029,10,3.883857,random
946417,15,6.96111,random
947110,20,9.420421,random
948223,25,10.888896,random
949495,10,4.451058,random
949981,15,7.168387,random
950625,20,9.661122,random
951809,25,11.700448,random
953167,10,4.935484,random
953699,15,6.474872,random
954394,20,8.578548,random
955329,25,10.898388,random
956430,10,5.334102,random
957029,15,7.97623,random
957907,20,10.018853,random
959060,25,10.888815,random
960140,10,4.752298,random
960626,15,7.221635,random
961346,20,10.425387,random
962526,25,13.900552,random
964148,10,5.196232,random
964651,15,7.030671,random
965378,20,10.396415,random
966495,25,11.677702,random
967636,10,4.851117,random
968151,15,7.137336,random
968871,20,10.830107,random
970047,25,13.21743,random
971269,10,4.778246,random
971730,15,7.548425,random
972410,20,9.420015,random
973313,25,12.977857,random
974670,10,5.495375,random
975269,15,8.001503,random
976166,20,10.440798,random
977077,25,13.312114,random
978431,10,5.469329,random
979014,15,7.676014,random
979770,20,10.678636,random
980881,25,12.325569,random
982020,10,5.627723,random
982387,15,10.295467,random
983273,20,10.969697,random
984355,25,12.99923,random
985607,10,5.938215,random
986218,15,7.970427,random
987003,20,11.328834,random
988159,25,14.448894,random
989517,10,5.560698,random
989974,15,8.070121,random
990731,20,11.803213,random
991810,25,13.185806,random
993048,10,5.550833,random
993542,15,7.606187,random
994220,20,12.090362,random
995326,25,16.465085,random
996692,10,7.025028,random
997306,15,9.99485,random
998215,20,11.500148,random
999254,25,17.832027,random
1000368,10,6.379016,random
1000872,15,9.18227,random
1001717,20,12.772139,random
1002866,25,14.512757,random
1004205,10,6.593602,random
1004753,15,10.243492,random
1005521,20,11.996538,random
1006528,25,15.783159,random
1007759,10,5.354706,random
1008219,15,9.658272,random
1008968,20,13.127189,random
1010261,25,16.092116,random
1011783,10,6.493695,random
1012387,15,8.889638,random
1013120,20,12.46475,random
1014220,25,15.841012,random
1015568,10,7.905977,random
1016081,15,8.81719,random
1016663,20,12.176627,random
1017582,25,18.626109,random
1019124,10,7.157379,random
1019725,15,10.969082,random
1020577,20,16.746703,random
1021554,25,19.998434,random
1023138,10,6.266408,random
1023563,15,9.360614,random
1024307,20,13.731788,random
1025242,25,16.258984,random
1026537,10,8.20396,random
1027105,15,13.052849,random
1027751,20,24.146868,random
1028848,25,19.751981,random
1030016,10,8.340321,random
1030441,15,13.420766,random
1031358,20,15.125383,random
1032461,25,19.531706,random
1033701,10,7.699156,random
1034377,15,9.453904,random
1035052,20,17.432396,random
1036148,25,19.286848,random
1037384,10,8.537618,random
1037828,15,12.746457,random
1038806,20,13.824311,random
1039817,25,16.751706,random
1040988,10,8.580554,random
1041534,15,12.072293,random
1042522,20,15.767393,random
1043582,25,19.558117,random
1090335,30,11.12026,random
1091809,35,8.660869,random
1093729,30,7.725885,random
1095330,35,8.527428,random
1096969,30,9.452621,random
1098520,35,10.491796,random
1100496,30,9.487248,random
1102003,35,10.839452,random
1103878,30,7.569448,random
1105498,35,7.800505,random
1107079,30,7.817846,random
1108688,35,9.867786,random
1110583,30,7.014297,random
1111959,35,9.343706,random
1113794,30,7.542373,random
1115258,35,8.755776,random
1116884,30,8.326253,random
1118501,35,9.586735,random
1120301,30,9.053189,random
1121893,35,10.85078,random
1123714,30,11.914031,random
1125397,35,13.207295,random
1127257,30,9.254003,random
1128854,35,10.490349,random
1130708,30,9.584697,random
1132262,35,11.001749,random
1134235,30,9.638283,random
1135932,35,9.840937,random
1137529,30,10.528842,random
1139335,35,11.447993,random
1141282,30,9.805718,random
1142755,35,10.00609,random
1144266,30,9.142407,random
1145695,35,11.756684,random
1147527,30,9.72035,random
1148892,35,11.793786,random
1150664,30,10.962748,random
1152239,35,12.936991,random
1154176,30,9.700114,random
1155532,35,14.744155,random
1157766,30,11.353967,random
1159462,35,14.543289,random
1161403,30,11.23221,random
1163056,35,12.644273,random
1164793,30,11.583215,random
1166377,35,13.64298,random
1168113,30,11.121423,random
1169472,35,14.027559,random
1171429,30,12.051108,random
1173108,35,12.972844,random
1174714,30,12.659593,random
1176560,35,14.298283,random
1178397,30,12.588028,random
1180097,35,14.626567,random
1181919,30,12.654568,random
1183622,35,15.475315,random
1185489,30,11.565019,random
1186805,35,15.580967,random
1188353,30,14.972779,random
1190158,35,14.216376,random
1191814,30,13.309679,random
1193264,35,15.04641,random
1194943,30,13.391816,random
1196507,35,15.453979,random
1198378,30,16.807902,random
1200085,35,19.32346,random
1202008,30,14.710003,random
1203513,35,17.531471,random
1205422,30,14.88061,random
1206974,35,16.574169,random
1208607,30,14.904435,random
1210191,35,16.639384,random
1211926,30,15.228948,random
1213393,35,18.94085,random
1215016,30,15.206588,random
1216620,35,19.283089,random
1218620,30,15.278129,random
1220101,35,17.90237,random
1221930,30,14.893107,random
1223333,35,18.171874,random
1225072,30,15.924658,random
1226663,35,18.520468,random
1228332,30,16.00853,random
1229962,35,19.371442,random
1231754,30,15.903195,random
1233278,35,19.706515,random
1235130,30,17.85318,random
1236920,35,20.877828,random
1238855,30,16.77348,random
1240401,35,20.373192,random
1242368,30,16.030464,random
1243720,35,19.699273,random
1245479,30,17.074718,random
1247078,35,20.617637,random
1248699,30,17.932869,random
1250328,35,21.169883,random
1252333,30,17.132002,random
1253668,35,22.434012,random
1255652,30,17.787841,random
1257194,35,22.701815,random
