platoon_id,number_of_events,vehicle_set,test_case_duration_time
515207,210,418808,11.343343019485474
324982,23,422587,2.5117075443267822
515667,149,424126,8.099252939224243
515964,4,424126,8.099252939224243
515971,19,427760,3.309002637863159
516008,2,433125,3.5690391063690186
516011,2,435586,1.6330339908599854
516014,82,437414,8.167481184005737
516177,49,441983,4.445390939712524
516274,6,441983,4.445390939712524
516285,78,443589,7.211132526397705
516440,109,446638,11.064031600952148
516657,102,452692,9.517704725265503
516860,5,454420,2.915127754211426
516872,309,458067,33.35876441001892
516869,2,458067,33.35876441001892
517489,23,460662,5.499048471450806
517534,3,460662,5.499048471450806
517539,2,460662,5.499048471450806
517557,116,462372,17.19712233543396
517542,8,462372,17.19712233543396
517788,185,465781,29.851949453353882
518218,206,468683,51.568281173706055
518629,67,468683,51.568281173706055
518157,31,468683,51.568281173706055
518762,2,474966,1.7836227416992188
518765,231,479560,48.59490704536438
519226,138,481418,27.135050535202026
519501,81,482483,19.661064624786377
519667,4,482483,19.661064624786377
519662,3,482483,19.661064624786377
519674,2,482483,19.661064624786377
519677,12,484580,5.277124881744385
519700,2,487045,1.9103491306304932
519703,11,488782,3.9859085083007812
519724,2,490891,2.7071444988250732
519727,3,493054,1.411590337753296
519732,4,494401,4.191462755203247
519739,2,494401,4.191462755203247
519742,9,496926,2.4087677001953125
519759,113,498105,26.49059557914734
519984,3,498105,26.49059557914734
519989,169,503106,40.46946382522583
520326,185,504718,61.884461879730225
520695,3,507305,2.6193156242370605
520700,51,510774,23.142110586166382
520801,21,510774,23.142110586166382
520842,2,510774,23.142110586166382
520854,107,512875,54.406362533569336
521067,66,512875,54.406362533569336
520845,5,512875,54.406362533569336
702913,35,521198,7.530750036239624
702982,5,521198,7.530750036239624
702991,3,521198,7.530750036239624
702996,64,524269,9.046560287475586
703123,25,524269,9.046560287475586
703172,2,524269,9.046560287475586
703386,185,527183,27.932141304016113
703183,102,527183,27.932141304016113
703175,3,527183,27.932141304016113
703180,2,527183,27.932141304016113
703823,528,530998,89.58339071273804
704496,213,530998,89.58339071273804
705114,44,530998,89.58339071273804
703766,29,530998,89.58339071273804
703755,6,530998,89.58339071273804
705237,179,535333,42.67041730880737
705201,21,535333,42.67041730880737
705594,18,535333,42.67041730880737
705222,15,535333,42.67041730880737
705646,9,535333,42.67041730880737
705716,28,540672,14.42923641204834
705663,23,540672,14.42923641204834
705711,3,540672,14.42923641204834
705708,2,540672,14.42923641204834
705810,87,543709,37.35212826728821
706013,25,543709,37.35212826728821
705771,20,543709,37.35212826728821
705983,11,543709,37.35212826728821
706062,6,543709,37.35212826728821
706004,5,543709,37.35212826728821
706073,190,547942,50.13706827163696
706474,46,547942,50.13706827163696
706455,10,547942,50.13706827163696
706452,2,547942,50.13706827163696
706565,192,550660,52.61659598350525
706948,4,550660,52.61659598350525
706955,3,550660,52.61659598350525
706993,40,555002,21.34281611442566
706960,8,555002,21.34281611442566
706978,8,555002,21.34281611442566
706975,2,555002,21.34281611442566
707167,86,558808,48.75753688812256
707072,80,558808,48.75753688812256
707268,22,558808,48.75753688812256
707327,3,558808,48.75753688812256
707524,257,561555,123.93896460533142
708037,102,561555,123.93896460533142
707361,82,561555,123.93896460533142
708247,5,561555,123.93896460533142
708240,4,561555,123.93896460533142
708373,141,564584,65.83179187774658
708256,59,564584,65.83179187774658
708677,16,568100,14.735032558441162
708654,12,568100,14.735032558441162
708708,2,568100,14.735032558441162
708738,15,571106,19.62581443786621
708711,14,571106,19.62581443786621
708767,4,571106,19.62581443786621
708901,282,574853,125.90852546691895
708783,41,574853,125.90852546691895
708872,15,574853,125.90852546691895
708774,10,574853,125.90852546691895
708864,2,574853,125.90852546691895
709482,155,578979,63.93449568748474
709467,8,578979,63.93449568748474
709464,2,578979,63.93449568748474
709794,77,581956,67.7750632762909
709947,74,581956,67.7750632762909
709791,2,581956,67.7750632762909
710045,288,585411,132.11462426185608
710620,39,585411,132.11462426185608
710697,327,588641,207.07968521118164
711347,115,588641,207.07968521118164
711577,53,593262,91.88735961914062
711636,45,593262,91.88735961914062
711725,43,593262,91.88735961914062
711810,18,593262,91.88735961914062
711861,11,593262,91.88735961914062
711616,2,593262,91.88735961914062
711885,4,597867,13.663816452026367
711882,2,597867,13.663816452026367
712045,181,601980,141.39241743087769
711897,63,601980,141.39241743087769
711988,19,601980,141.39241743087769
711892,3,601980,141.39241743087769
712042,2,601980,141.39241743087769
712409,5,606045,12.541894674301147
712406,2,606045,12.541894674301147
712418,8,609905,10.148844480514526
712452,101,613153,80.55480718612671
712659,31,613153,80.55480718612671
712433,10,613153,80.55480718612671
712653,2,613153,80.55480718612671
712656,2,613153,80.55480718612671
712797,85,621495,76.48768854141235
712723,25,621495,76.48768854141235
712772,13,621495,76.48768854141235
712720,2,621495,76.48768854141235
712982,340,625209,216.20138883590698
713594,9,625209,216.20138883590698
712969,7,625209,216.20138883590698
713583,6,625209,216.20138883590698
712966,2,625209,216.20138883590698
713854,263,628685,242.8166983127594
713717,69,628685,242.8166983127594
713624,47,628685,242.8166983127594
713611,7,628685,242.8166983127594
714539,56,632221,96.47520303726196
714439,49,632221,96.47520303726196
714379,27,632221,96.47520303726196
714432,8,632221,96.47520303726196
715081,318,635837,487.4603090286255
714772,277,635837,487.4603090286255
714650,59,635837,487.4603090286255
715761,23,635837,487.4603090286255
715716,22,635837,487.4603090286255
714767,5,635837,487.4603090286255
716062,102,640607,123.38325905799866
715928,65,640607,123.38325905799866
716057,3,640607,123.38325905799866
716265,5,643709,11.069572448730469
716302,17,647214,30.72645354270935
716279,9,647214,30.72645354270935
716274,3,647214,30.72645354270935
716296,2,647214,30.72645354270935
716299,2,647214,30.72645354270935
716335,15,654433,19.012283086776733
716385,68,657228,85.54772329330444
716522,26,657228,85.54772329330444
716377,8,657228,85.54772329330444
716364,7,657228,85.54772329330444
716746,90,661924,113.09103536605835
716612,65,661924,113.09103536605835
716573,20,661924,113.09103536605835
716741,3,661924,113.09103536605835
717048,71,665795,115.08108615875244
716925,45,665795,115.08108615875244
717190,26,665795,115.08108615875244
717014,16,665795,115.08108615875244
717215,7,665795,115.08108615875244
717045,5,665795,115.08108615875244
717246,104,669965,72.14329814910889
717239,4,669965,72.14329814910889
717549,192,673617,163.7954125404358
717453,40,673617,163.7954125404358
717532,4,673617,163.7954125404358
717539,3,673617,163.7954125404358
717544,3,673617,163.7954125404358
717938,91,677502,71.30361485481262
717932,2,677502,71.30361485481262
717935,2,677502,71.30361485481262
718128,59,681471,77.32690167427063
718186,23,681471,77.32690167427063
718119,5,681471,77.32690167427063
718208,5,681471,77.32690167427063
718233,5,681471,77.32690167427063
718243,3,681471,77.32690167427063
718256,41,686007,34.58222961425781
718337,4,686007,34.58222961425781
718344,63,688548,97.8938341140747
718469,38,688548,97.8938341140747
718544,29,688548,97.8938341140747
718601,155,692219,129.23066425323486
718890,376,695641,282.85883045196533
719639,235,699618,196.3975260257721
720108,22,699618,196.3975260257721
993675,122,720151,21.651690244674683
993640,18,720151,21.651690244674683
993918,16,720151,21.651690244674683
993622,14,720151,21.651690244674683
993949,14,720151,21.651690244674683
993982,192,725924,40.645731687545776
994427,158,725924,40.645731687545776
994744,63,725924,40.645731687545776
994891,36,725924,40.645731687545776
994361,32,725924,40.645731687545776
994872,29,725924,40.645731687545776
993976,2,725924,40.645731687545776
993979,2,725924,40.645731687545776
994424,2,725924,40.645731687545776
994869,2,725924,40.645731687545776
995654,400,730909,95.81287574768066
994998,167,730909,95.81287574768066
995334,154,730909,95.81287574768066
995487,84,730909,95.81287574768066
994981,9,730909,95.81287574768066
995331,2,730909,95.81287574768066
996339,183,735936,62.047523498535156
996732,53,735936,62.047523498535156
996715,9,735936,62.047523498535156
996842,9,735936,62.047523498535156
996326,3,735936,62.047523498535156
996331,3,735936,62.047523498535156
996707,3,735936,62.047523498535156
996837,3,735936,62.047523498535156
996336,2,735936,62.047523498535156
996704,2,735936,62.047523498535156
996712,2,735936,62.047523498535156
996859,250,742589,107.20284032821655
997293,139,742589,107.20284032821655
997119,86,742589,107.20284032821655
997570,12,742589,107.20284032821655
997025,5,742589,107.20284032821655
997069,4,742589,107.20284032821655
997593,3,742589,107.20284032821655
997290,2,742589,107.20284032821655
704922,2,742589,107.20284032821655
704928,524,747737,160.09947228431702
998430,68,747737,160.09947228431702
704925,2,747737,160.09947228431702
998566,114,753962,111.35785865783691
998935,84,753962,111.35785865783691
999126,38,753962,111.35785865783691
998793,33,753962,111.35785865783691
998858,17,753962,111.35785865783691
998894,16,753962,111.35785865783691
999105,11,753962,111.35785865783691
998925,8,753962,111.35785865783691
998891,2,753962,111.35785865783691
999102,2,753962,111.35785865783691
999220,908,759794,500.497682094574
1000624,241,759794,500.497682094574
1000424,141,759794,500.497682094574
999201,10,759794,500.497682094574
1001120,683,765578,443.5700378417969
1001923,214,765578,443.5700378417969
1001109,6,765578,443.5700378417969
1002350,5,765578,443.5700378417969
1001920,2,765578,443.5700378417969
1002856,193,771223,311.4074692726135
1003275,185,771223,311.4074692726135
1002729,91,771223,311.4074692726135
1002547,82,771223,311.4074692726135
1002702,14,771223,311.4074692726135
1003254,2,771223,311.4074692726135
1003846,137,777588,272.58353185653687
1004178,115,777588,272.58353185653687
1004445,55,777588,272.58353185653687
1004119,46,777588,272.58353185653687
1003786,45,777588,272.58353185653687
1003707,40,777588,272.58353185653687
1003644,32,777588,272.58353185653687
1003831,15,777588,272.58353185653687
1004561,175,782025,202.3496539592743
1004836,85,782025,202.3496539592743
1004791,62,782025,202.3496539592743
1005050,3,782025,202.3496539592743
1005024,2,782025,202.3496539592743
1005027,2,782025,202.3496539592743
1005144,620,787689,524.4480586051941
1006383,124,787689,524.4480586051941
1005095,49,787689,524.4480586051941
1006670,10,787689,524.4480586051941
1006630,6,787689,524.4480586051941
1006665,3,787689,524.4480586051941
1006799,67,793439,146.70464539527893
1006944,51,793439,146.70464539527893
1006724,38,793439,146.70464539527893
1007048,17,793439,146.70464539527893
1006695,15,793439,146.70464539527893
1006937,8,793439,146.70464539527893
1006932,3,793439,146.70464539527893
1006689,2,793439,146.70464539527893
1006692,2,793439,146.70464539527893
1007081,130,799106,197.39853024482727
1007205,68,799106,197.39853024482727
1007354,53,799106,197.39853024482727
1007459,14,799106,197.39853024482727
1007202,2,799106,197.39853024482727
1007342,2,799106,197.39853024482727
1007486,187,804893,224.98711776733398
1007953,54,804893,224.98711776733398
1007908,23,804893,224.98711776733398
1007862,22,804893,224.98711776733398
1007859,2,804893,224.98711776733398
1007905,2,804893,224.98711776733398
1008109,143,810614,226.3157081604004
1008484,74,810614,226.3157081604004
1008394,40,810614,226.3157081604004
1008063,14,810614,226.3157081604004
1008090,10,810614,226.3157081604004
1008473,6,810614,226.3157081604004
1008533,5,810614,226.3157081604004
1008567,3,810614,226.3157081604004
1008060,2,810614,226.3157081604004
1008777,116,816409,183.78557705879211
1008596,50,816409,183.78557705879211
1008698,40,816409,183.78557705879211
1009008,20,816409,183.78557705879211
1009047,3,816409,183.78557705879211
1008695,2,816409,183.78557705879211
1009052,196,820816,240.90616059303284
1009464,41,820816,240.90616059303284
1009549,39,820816,240.90616059303284
1009451,7,820816,240.90616059303284
1009446,4,820816,240.90616059303284
1009443,2,820816,240.90616059303284
1009545,2,820816,240.90616059303284
1009751,250,826431,399.72105884552
1010060,156,826431,399.72105884552
1009626,63,826431,399.72105884552
1010610,72,830682,171.56615948677063
1010469,71,830682,171.56615948677063
1010681,40,830682,171.56615948677063
1010466,2,830682,171.56615948677063
1010760,2,830682,171.56615948677063
1010799,2,830682,171.56615948677063
1010802,87,835164,109.90339255332947
1010975,20,835164,109.90339255332947
1011014,7,835164,109.90339255332947
1011027,4,835164,109.90339255332947
1011055,41,839648,60.18782949447632
1011044,6,839648,60.18782949447632
1011037,4,839648,60.18782949447632
1011136,3,839648,60.18782949447632
1011034,2,839648,60.18782949447632
1011141,2,839648,60.18782949447632
1011179,99,844210,325.8021459579468
1011508,85,844210,325.8021459579468
1011677,67,844210,325.8021459579468
1011376,65,844210,325.8021459579468
1011144,18,844210,325.8021459579468
1011813,4,844210,325.8021459579468
1011505,3,844210,325.8021459579468
1011821,3,844210,325.8021459579468
1011810,2,844210,325.8021459579468
1012299,235,850950,453.74561977386475
1011826,87,850950,453.74561977386475
1012154,73,850950,453.74561977386475
1012013,71,850950,453.74561977386475
1011999,6,850950,453.74561977386475
1012768,5,850950,453.74561977386475
1012010,2,850950,453.74561977386475
1012774,2,850950,453.74561977386475
1012989,189,857103,364.3417344093323
1012910,80,857103,364.3417344093323
1012777,67,857103,364.3417344093323
1013455,19,857103,364.3417344093323
1013430,13,857103,364.3417344093323
1013369,11,857103,364.3417344093323
1013366,2,857103,364.3417344093323
1013905,422,861616,1160.6659283638
1014793,403,861616,1160.6659283638
1013678,154,861616,1160.6659283638
1013492,91,861616,1160.6659283638
1013868,37,861616,1160.6659283638
1014748,23,861616,1160.6659283638
1013673,3,861616,1160.6659283638
1015603,185,868800,423.2404716014862
1016169,66,868800,423.2404716014862
1016026,64,868800,423.2404716014862
1015990,16,868800,423.2404716014862
1016307,9,868800,423.2404716014862
1015975,8,868800,423.2404716014862
1016156,7,868800,423.2404716014862
1016300,4,868800,423.2404716014862
1015595,3,868800,423.2404716014862
1015600,3,868800,423.2404716014862
1016021,3,868800,423.2404716014862
1015972,2,868800,423.2404716014862
1016153,2,868800,423.2404716014862
1016324,2,868800,423.2404716014862
1016328,186,875512,621.3107025623322
1016699,132,875512,621.3107025623322
1016830,126,875512,621.3107025623322
1017242,57,875512,621.3107025623322
1017084,44,875512,621.3107025623322
1017171,3,875512,621.3107025623322
1017081,2,875512,621.3107025623322
1017364,78,880908,155.09721851348877
1017522,37,880908,155.09721851348877
1017355,5,880908,155.09721851348877
1017519,2,880908,155.09721851348877
1017595,2,880908,155.09721851348877
1018061,438,885183,834.6127562522888
1017598,232,885183,834.6127562522888
1018773,23,885183,834.6127562522888
1018294,7,885183,834.6127562522888
1018399,7,885183,834.6127562522888
1018824,177,890596,251.9313201904297
1019177,14,890596,251.9313201904297
