vehicle_set_id,number_of_vehicles,creation_time_laps,type
418808,5,24.975476,random
421486,5,10.986794,random
422587,5,15.112316,random
424126,5,14.353313,random
425774,5,15.0937,random
427760,5,12.850763,random
429540,5,16.076456,random
431376,5,12.866473,random
433125,5,18.889343,random
435586,5,16.228716,random
437414,5,26.846907,random
440281,5,13.470184,random
441983,5,13.325575,random
443589,5,15.528821,random
445700,5,5.818345,random
446638,5,17.863315,random
448956,5,12.512975,random
450442,5,16.906302,random
452692,5,14.662391,random
454420,5,20.685124,random
456669,5,11.714743,random
458067,5,19.907611,random
460662,5,14.165496,random
462372,5,17.193506,random
464297,5,11.772831,random
465781,5,20.89773,random
468683,5,25.262258,random
471755,5,13.791818,random
473283,5,14.75104,random
474966,5,14.676046,random
476775,5,13.551226,random
478475,5,7.589436,random
479560,5,14.150463,random
481418,5,8.672515,random
482483,5,14.809161,random
484580,5,22.655592,random
487045,5,14.521965,random
488782,5,18.900564,random
490891,5,17.747126,random
493054,5,11.649181,random
494401,5,16.462566,random
496926,5,9.090677,random
498105,5,21.092785,random
500735,5,20.03814,random
503106,5,12.140366,random
504718,5,19.339485,random
507305,5,16.232062,random
509058,5,14.683702,random
510774,5,17.756075,random
512875,5,20.804323,random
521198,10,30.01752,random
524269,10,25.092425,random
527183,10,32.427684,random
530998,10,35.873794,random
535333,10,30.498626,random
538593,10,17.292389,random
540672,10,27.37594,random
543709,10,37.679312,random
547942,10,24.389254,random
550660,10,41.13003,random
555002,10,36.679564,random
558808,10,24.97278,random
561555,10,23.911157,random
564584,10,27.455993,random
568100,10,25.158828,random
571106,10,32.903499,random
574853,10,36.029344,random
578979,10,25.844493,random
581956,10,27.990853,random
585411,10,32.168405,random
588641,10,43.148478,random
593262,10,39.192804,random
597867,10,35.464132,random
601980,10,39.058333,random
606045,10,33.401471,random
609905,10,29.275785,random
613153,10,36.378369,random
616687,10,39.836284,random
621495,10,35.624701,random
625209,10,34.383888,random
628685,10,32.978564,random
632221,10,33.979774,random
635837,10,41.864863,random
640607,10,28.312395,random
643709,10,32.937139,random
647214,10,35.621191,random
651063,10,28.382023,random
654433,10,27.070864,random
657228,10,41.843868,random
661924,10,34.504279,random
665795,10,37.689389,random
669965,10,35.424988,random
673617,10,38.164501,random
677502,10,35.403775,random
681471,10,42.150494,random
686007,10,25.257324,random
688548,10,34.787224,random
692219,10,29.305096,random
695641,10,34.475541,random
699618,10,29.948884,random
720151,15,44.447757,random
725924,15,38.060213,random
730909,15,42.234699,random
735936,15,48.693532,random
742589,15,42.396678,random
747737,15,49.048076,random
753962,15,45.119081,random
759794,15,45.199317,random
765578,15,41.263607,random
771223,15,45.207864,random
777588,15,38.355986,random
782025,15,45.90403,random
787689,15,44.131111,random
793439,15,44.21219,random
799106,15,46.655138,random
804893,15,44.45057,random
810614,15,42.323972,random
816409,15,34.15918,random
820816,15,45.289391,random
826431,15,40.411777,random
830682,15,31.02912,random
835164,15,34.41981,random
839648,15,33.485938,random
844210,15,54.852541,random
850950,15,47.220245,random
857103,15,34.521176,random
861616,15,54.289375,random
868800,15,50.479147,random
875512,15,42.751791,random
880908,15,33.283254,random
885183,15,42.758274,random
890596,15,40.170204,random
895542,15,35.524931,random
900594,15,40.548572,random
905959,15,34.220155,random
910718,15,39.13849,random
915907,15,47.17622,random
921606,15,36.641203,random
926510,15,38.671438,random
931804,15,47.276745,random
938319,15,44.613798,random
943814,15,38.656868,random
949197,15,43.765219,random
954980,15,52.1044,random
961743,15,41.665177,random
967381,15,37.250927,random
972563,15,40.777156,random
977815,15,33.418162,random
982114,15,45.386733,random
987640,15,44.879925,random
