vehicle_id,vehicle_creation_time,legal_requirements,technical_requirements,average_speed,earliest_departure,latest_arrival,vehicle_set_id,total_route_nodes_created
676539,0.334892,standard,standard,60.0,2026-01-30T02:12:45.200771,2026-01-30T03:12:45.200771,676538,27
676567,0.011382,standard,standard,60.0,2026-01-30T02:12:46.721613,2026-01-30T03:12:46.721613,676538,47
676615,0.005645,standard,standard,60.0,2026-01-30T02:12:47.334194,2026-01-30T03:12:47.334194,676538,33
676649,0.003,standard,standard,60.0,2026-01-30T02:12:47.667196,2026-01-30T03:12:47.667196,676538,67
676717,0.004001,standard,standard,60.0,2026-01-30T02:12:48.297853,2026-01-30T03:12:48.297853,676538,20
676738,0.00439,standard,standard,60.0,2026-01-30T02:12:48.474881,2026-01-30T03:12:48.474881,676538,76
676815,0.0,standard,standard,60.0,2026-01-30T02:12:49.086570,2026-01-30T03:12:49.086570,676538,55
676871,0.006572,standard,standard,60.0,2026-01-30T02:12:49.532217,2026-01-30T03:12:49.532217,676538,21
676893,0.003006,standard,standard,60.0,2026-01-30T02:12:49.768852,2026-01-30T03:12:49.768852,676538,62
676956,0.005767,standard,standard,60.0,2026-01-30T02:12:50.350065,2026-01-30T03:12:50.350065,676538,25
676982,0.004002,standard,standard,60.0,2026-01-30T02:12:50.613287,2026-01-30T03:12:50.613287,676538,74
677057,0.003,standard,standard,60.0,2026-01-30T02:12:51.341049,2026-01-30T03:12:51.341049,676538,124
677182,0.002,standard,standard,60.0,2026-01-30T02:12:52.345368,2026-01-30T03:12:52.345368,676538,16
677199,0.0,standard,standard,60.0,2026-01-30T02:12:52.470072,2026-01-30T03:12:52.470072,676538,55
677255,0.0,standard,standard,60.0,2026-01-30T02:12:52.927893,2026-01-30T03:12:52.927893,676538,33
677289,0.0,standard,standard,60.0,2026-01-30T02:12:53.181262,2026-01-30T03:12:53.181262,676538,93
677383,1.5e-05,standard,standard,60.0,2026-01-30T02:12:53.876678,2026-01-30T03:12:53.876678,676538,29
677413,0.0,standard,standard,60.0,2026-01-30T02:12:54.103824,2026-01-30T03:12:54.103824,676538,76
677490,0.0,standard,standard,60.0,2026-01-30T02:12:54.690718,2026-01-30T03:12:54.690718,676538,51
677542,0.002541,standard,standard,60.0,2026-01-30T02:12:55.029088,2026-01-30T03:12:55.029088,676538,86
