vehicle_id,vehicle_creation_time,legal_requirements,technical_requirements,average_speed,earliest_departure,latest_arrival,vehicle_set_id,total_route_nodes_created
674934,0.045124,standard,standard,60.0,2026-01-22T12:16:53.317563,2026-01-22T13:16:53.317563,674933,27
674962,0.001994,standard,standard,60.0,2026-01-22T12:16:53.522747,2026-01-22T13:16:53.522747,674933,47
675010,0.003001,standard,standard,60.0,2026-01-22T12:16:53.796525,2026-01-22T13:16:53.796525,674933,33
675044,0.002002,standard,standard,60.0,2026-01-22T12:16:54.079828,2026-01-22T13:16:54.079828,674933,67
675112,0.002717,standard,standard,60.0,2026-01-22T12:16:54.781608,2026-01-22T13:16:54.781608,674933,20
675133,0.002,standard,standard,60.0,2026-01-22T12:16:54.896412,2026-01-22T13:16:54.896412,674933,76
675210,0.002997,standard,standard,60.0,2026-01-22T12:16:55.410545,2026-01-22T13:16:55.410545,674933,55
675266,0.002,standard,standard,60.0,2026-01-22T12:16:55.749631,2026-01-22T13:16:55.749631,674933,21
675288,0.001999,standard,standard,60.0,2026-01-22T12:16:55.873174,2026-01-22T13:16:55.873174,674933,62
675351,0.002001,standard,standard,60.0,2026-01-22T12:16:56.144598,2026-01-22T13:16:56.144598,674933,25
675377,0.00153,standard,standard,60.0,2026-01-22T12:16:56.284776,2026-01-22T13:16:56.284776,674933,74
675452,0.002,standard,standard,60.0,2026-01-22T12:16:56.637277,2026-01-22T13:16:56.637277,674933,124
675577,0.002723,standard,standard,60.0,2026-01-22T12:16:57.420588,2026-01-22T13:16:57.420588,674933,16
675594,0.000999,standard,standard,60.0,2026-01-22T12:16:57.528724,2026-01-22T13:16:57.528724,674933,55
675650,0.002003,standard,standard,60.0,2026-01-22T12:16:57.814090,2026-01-22T13:16:57.814090,674933,33
675684,0.001999,standard,standard,60.0,2026-01-22T12:16:57.980656,2026-01-22T13:16:57.980656,674933,93
675778,0.000999,standard,standard,60.0,2026-01-22T12:16:58.410048,2026-01-22T13:16:58.410048,674933,29
675808,0.001998,standard,standard,60.0,2026-01-22T12:16:58.552084,2026-01-22T13:16:58.552084,674933,76
675885,0.001999,standard,standard,60.0,2026-01-22T12:16:58.895517,2026-01-22T13:16:58.895517,674933,51
675937,0.001002,standard,standard,60.0,2026-01-22T12:16:59.107901,2026-01-22T13:16:59.107901,674933,86
