platoonEvent_id,event_type,vehicle1_id,route_node1_id,vehicle2_id,route_node2_id,platoon_id,duration
859822_860138,CREATE,859822,859833,860138,860142,862537,0.175948
859822_860138,VIA,859822,859834,860138,860143,862537,0.175683
859822_860138,DISSOLVE,859822,859835,860138,860144,862537,0.097536
860071_859949,CREATE,860071,860118,859949,859992,862542,0.002073
860071_859949,VIA,860071,860119,859949,859993,862542,0.010123
860071_859949,VIA,860071,860120,859949,859994,862542,0.003761
860071_859949,VIA,860071,860121,859949,859995,862542,0.01768
860071_859949,VIA,860071,860122,859949,859996,862542,0.01801
860071_859949,VIA,860071,860123,859949,859997,862542,0.015227
860071_859949,VIA,860071,860124,859949,859998,862542,0.006194
860071_859949,DISSOLVE,860071,860125,859949,859999,862542,0.018906
860678_860589,CREATE,860678,860698,860589,860609,862557,0.018056
860678_860589,VIA,860678,860699,860589,860610,862557,0.010809
860678_860589,VIA,860678,860700,860589,860611,862557,0.017019
860678_860589,VIA,860678,860701,860589,860612,862557,0.01686
860678_860589,VIA,860678,860702,860589,860613,862557,0.027698
860678_860589,VIA,860678,860703,860589,860614,862557,0.013588
860678_860589,VIA,860678,860704,860589,860615,862557,0.019198
860678_860589,VIA,860678,860705,860589,860616,862557,0.015771
860678_860589,VIA,860678,860706,860589,860617,862557,0.007376
860678_860589,VIA,860678,860707,860589,860618,862557,0.007751
860678_860589,VIA,860678,860708,860589,860619,862557,0.045375
860678_860589,DISSOLVE,860678,860709,860589,860620,862557,0.007944
860678_860224,CREATE,860678,860740,860224,860273,862580,0.007558
860678_860224,VIA,860678,860741,860224,860274,862580,0.009917
860678_860224,DISSOLVE,860678,860742,860224,860275,862580,0.002911
860589_860324,CREATE,860589,860641,860324,860377,862585,0.006222
860589_860324,VIA,860589,860642,860324,860378,862585,0.001924
860589_860324,VIA,860589,860643,860324,860379,862585,0.007733
860589_860324,VIA,860589,860644,860324,860380,862585,0.008057
860589_860324,VIA,860589,860645,860324,860381,862585,0.007379
860589_860324,VIA,860589,860646,860324,860382,862585,0.005657
860589_860324,VIA,860589,860647,860324,860383,862585,0.002022
860589_860324,VIA,860589,860648,860324,860384,862585,0.005999
860589_860324,VIA,860589,860649,860324,860385,862585,0.008624
860589_860324,VIA,860589,860650,860324,860386,862585,0.010151
860589_860324,VIA,860589,860651,860324,860387,862585,0.009169
860589_860324,VIA,860589,860652,860324,860388,862585,0.00794
860589_860324,VIA,860589,860653,860324,860389,862585,0.013732
860589_860324,VIA,860589,860654,860324,860390,862585,0.009918
860589_860324,VIA,860589,860655,860324,860391,862585,0.016633
860589_860324,VIA,860589,860656,860324,860392,862585,0.012158
860589_860324,DISSOLVE,860589,860657,860324,860393,862585,0.006456
860324_860541,CREATE,860324,860344,860541,860545,862618,0.007463
860324_860541,VIA,860324,860345,860541,860546,862618,0.006941
860324_860541,VIA,860324,860346,860541,860547,862618,0.001831
860324_860541,VIA,860324,860347,860541,860548,862618,0.007038
860324_860541,VIA,860324,860348,860541,860549,862618,0.007884
860324_860541,VIA,860324,860349,860541,860550,862618,0.007209
860324_860541,VIA,860324,860350,860541,860551,862618,0.000983
860324_860541,VIA,860324,860351,860541,860552,862618,0.005168
860324_860541,DISSOLVE,860324,860352,860541,860553,862618,0.008089
860224_860541,CREATE,860224,860261,860541,860571,862635,0.005049
860224_860541,VIA,860224,860262,860541,860572,862635,0.006173
860224_860541,VIA,860224,860263,860541,860573,862635,0.004481
860224_860541,VIA,860224,860264,860541,860574,862635,0.007689
860224_860541,VIA,860224,860265,860541,860575,862635,0.007054
860224_860541,DISSOLVE,860224,860266,860541,860576,862635,0.005397
860756_861061,CREATE,860756,860758,861061,861084,862646,0.005549
860756_861061,VIA,860756,860759,861061,861085,862646,0.005532
860756_861061,VIA,860756,860760,861061,861086,862646,0.005003
860756_861061,VIA,860756,860761,861061,861087,862646,0.006646
860756_861061,VIA,860756,860762,861061,861088,862646,0.006536
860756_861061,VIA,860756,860763,861061,861089,862646,0.015881
860756_861061,VIA,860756,860764,861061,861090,862646,0.061192
860756_861061,VIA,860756,860765,861061,861091,862646,0.052147
860756_861061,VIA,860756,860766,861061,861092,862646,0.056364
860756_861061,VIA,860756,860767,861061,861093,862646,0.020067
860756_861061,VIA,860756,860768,861061,861094,862646,0.010481
860756_861061,VIA,860756,860769,861061,861095,862646,0.006559
860756_861061,VIA,860756,860770,861061,861096,862646,0.010381
860756_861061,VIA,860756,860771,861061,861097,862646,0.012168
860756_861061,DISSOLVE,860756,860772,861061,861098,862646,0.00933
860756_861243,ADD,860756-Present,860758,861243-Added,861303,862646,0.05317
860756_861243,ADD,860756-Present,860759,861243-Added,861304,862646,0.007481
860756_861243,ADD,860756-Present,860760,861243-Added,861305,862646,0.007317
860756_861243,ADD,860756-Present,860761,861243-Added,861306,862646,0.006908
860756_861243,ADD,860756-Present,860762,861243-Added,861307,862646,0.002037
860756_861243,ADD,860756-Present,860763,861243-Added,861308,862646,0.014945
860756_861243,ADD,860756-Present,860764,861243-Added,861309,862646,0.009076
860756_861243,ADD,860756-Present,860765,861243-Added,861310,862646,0.005443
860756_861243,ADD,860756-Present,860766,861243-Added,861311,862646,0.004068
860756_861243,ADD,860756-Present,860767,861243-Added,861312,862646,0.00491
860756_861243,ADD,860756-Present,860768,861243-Added,861313,862646,0.006368
860756_861243,ADD,860756-Present,860769,861243-Added,861314,862646,0.011934
860756_861243,ADD,860756-Present,860770,861243-Added,861315,862646,0.006826
860756_861243,ADD,860756-Present,860771,861243-Added,861316,862646,0.005042
860822_861340,CREATE,860822,860826,861340,861347,862689,0.088127
860822_861340,VIA,860822,860827,861340,861348,862689,0.019501
860822_861340,VIA,860822,860828,861340,861349,862689,0.022311
860822_861340,VIA,860822,860829,861340,861350,862689,0.007672
860822_861340,VIA,860822,860830,861340,861351,862689,0.007975
860822_861340,DISSOLVE,860822,860831,861340,861352,862689,0.010781
860822_861159,CREATE,860822,860857,861159,861221,862700,0.006962
860822_861159,VIA,860822,860858,861159,861222,862700,0.008365
860822_861159,VIA,860822,860859,861159,861223,862700,0.008395
860822_861159,VIA,860822,860860,861159,861224,862700,0.026529
860822_861159,VIA,860822,860861,861159,861225,862700,0.009159
860822_861159,VIA,860822,860862,861159,861226,862700,0.010948
860822_861159,DISSOLVE,860822,860863,861159,861227,862700,0.006304
860822_861061,CREATE,860822,860853,861061,861116,862713,0.009073
860822_861061,VIA,860822,860854,861061,861117,862713,0.004414
860822_861061,VIA,860822,860855,861061,861118,862713,0.001521
860822_861061,VIA,860822,860856,861061,861119,862713,0.011416
860822_861061,VIA,860822,860857,861061,861120,862713,0.006903
860822_861061,DISSOLVE,860822,860858,861061,861121,862713,0.003021
860822_860880,ADD,860822-Present,860857,860880-Added,860915,862713,0.014845
860822_860880,ADD,860822-Present,860858,860880-Added,860916,862713,0.007594
860822_860880,ADD,860822-Present,860859,860880-Added,860917,862700,0.006532
860822_860880,ADD,860822-Present,860860,860880-Added,860918,862700,0.00454
860822_860880,ADD,860822-Present,860861,860880-Added,860919,862700,0.00704
860822_860880,ADD,860822-Present,860862,860880-Added,860920,862700,0.008003
861159_861061,ADD,861159-Present,861221,861061-Added,861120,862700,0.015557
861159_860793,CREATE,861159,861202,860793,860800,862731,0.005997
861159_860793,VIA,861159,861203,860793,860801,862731,0.0
861159_860793,VIA,861159,861204,860793,860802,862731,0.011192
861159_860793,VIA,861159,861205,860793,860803,862731,0.020148
861159_860793,VIA,861159,861206,860793,860804,862731,0.008011
861159_860793,VIA,861159,861207,860793,860805,862731,0.007732
861159_860793,VIA,861159,861208,860793,860806,862731,0.017624
861159_860793,VIA,861159,861209,860793,860807,862731,0.008152
861159_860793,VIA,861159,861210,860793,860808,862731,0.005523
861159_860793,VIA,861159,861211,860793,860809,862731,0.051544
861159_860793,VIA,861159,861212,860793,860810,862731,0.018107
861159_860793,VIA,861159,861213,860793,860811,862731,0.0069
861159_860793,VIA,861159,861214,860793,860812,862731,0.004046
861159_860793,VIA,861159,861215,860793,860813,862731,0.005391
861159_860793,VIA,861159,861216,860793,860814,862731,0.003231
861159_860793,VIA,861159,861217,860793,860815,862731,0.023757
861159_860793,DISSOLVE,861159,861218,860793,860816,862731,0.003599
861159_860963,ADD,861159-Present,861202,860963-Added,860981,862731,0.020155
861159_860963,ADD,861159-Present,861203,860963-Added,860982,862731,0.006505
861159_860963,ADD,861159-Present,861204,860963-Added,860983,862731,0.00382
861159_860963,ADD,861159-Present,861205,860963-Added,860984,862731,0.0058
861159_860963,ADD,861159-Present,861206,860963-Added,860985,862731,0.003611
861159_860963,ADD,861159-Present,861207,860963-Added,860986,862731,0.006753
861159_860963,ADD,861159-Present,861208,860963-Added,860987,862731,0.0
861159_860963,ADD,861159-Present,861209,860963-Added,860988,862731,0.007047
861159_860963,ADD,861159-Present,861210,860963-Added,860989,862731,0.006792
861159_860963,ADD,861159-Present,861211,860963-Added,860990,862731,0.041199
861159_860963,ADD,861159-Present,861212,860963-Added,860991,862731,0.056385
861159_860963,ADD,861159-Present,861213,860963-Added,860992,862731,0.016254
861159_860963,ADD,861159-Present,861214,860963-Added,860993,862731,0.010327
861159_860963,ADD,861159-Present,861215,860963-Added,860994,862731,0.032274
861159_860963,ADD,861159-Present,861216,860963-Added,860995,862731,0.009386
861159_860963,ADD,861159-Present,861217,860963-Added,860996,862731,0.020363
861159_860880,ADD,861159-Present,861202,860880-Added,860896,862731,0.007107
861159_860880,ADD,861159-Present,861203,860880-Added,860897,862731,0.002055
861159_860880,ADD,861159-Present,861204,860880-Added,860898,862731,0.008638
861159_860880,ADD,861159-Present,861205,860880-Added,860899,862731,0.022142
861159_860880,ADD,861159-Present,861206,860880-Added,860900,862731,0.008884
861159_860880,ADD,861159-Present,861207,860880-Added,860901,862731,0.005057
861159_860880,ADD,861159-Present,861208,860880-Added,860902,862731,0.005461
861159_860880,ADD,861159-Present,861209,860880-Added,860903,862731,0.005031
861159_860880,ADD,861159-Present,861210,860880-Added,860904,862731,0.001506
861159_860880,ADD,861159-Present,861211,860880-Added,860905,862731,0.004021
861159_860880,ADD,861159-Present,861212,860880-Added,860906,862731,0.005541
861159_860880,ADD,861159-Present,861213,860880-Added,860907,862731,0.00545
861159_860880,ADD,861159-Present,861214,860880-Added,860908,862731,0.002988
861159_860880,ADD,861159-Present,861215,860880-Added,860909,862731,0.00717
861159_860880,ADD,861159-Present,861216,860880-Added,860910,862731,0.007279
861159_860880,ADD,861159-Present,861217,860880-Added,860911,862731,0.005613
861159_860880,ADD,861159-Present,861218,860880-Added,860912,862731,0.006413
861159_860880,ADD,861159-Present,861221,860880-Added,860915,862700,0.002993
861159_860880,ADD,861159-Present,861222,860880-Added,860916,862700,0.001592
861159_860880,ADD,861159-Present,861223,860880-Added,860917,862700,0.004076
861159_860880,ADD,861159-Present,861224,860880-Added,860918,862700,0.006396
861159_860880,ADD,861159-Present,861225,860880-Added,860919,862700,0.004019
861159_860880,ADD,861159-Present,861226,860880-Added,860920,862700,0.004064
861159_860880,ADD,861159-Present,861227,860880-Added,860921,862700,0.00598
861159_860776,CREATE,861159,861238,860776,860784,862804,0.006043
861159_860776,VIA,861159,861239,860776,860785,862804,0.003399
861159_860776,VIA,861159,861240,860776,860786,862804,0.004415
861159_860776,DISSOLVE,861159,861241,860776,860787,862804,0.006044
861061_860880,VIA,861061,861120,860880,860915,862700,0.004411
861061_860880,REMOVE,861061-Removed,861121,860880-Present,860916,862700,0.04867
861061_861243,ADD,861061-Present,861084,861243-Added,861303,862646,0.006201
861061_861243,ADD,861061-Present,861085,861243-Added,861304,862646,0.002213
861061_861243,ADD,861061-Present,861086,861243-Added,861305,862646,0.010922
861061_861243,ADD,861061-Present,861087,861243-Added,861306,862646,0.002057
861061_861243,ADD,861061-Present,861088,861243-Added,861307,862646,0.004471
861061_861243,ADD,861061-Present,861089,861243-Added,861308,862646,0.004384
861061_861243,ADD,861061-Present,861090,861243-Added,861309,862646,0.006196
861061_861243,ADD,861061-Present,861091,861243-Added,861310,862646,0.005041
861061_861243,ADD,861061-Present,861092,861243-Added,861311,862646,0.00805
861061_861243,ADD,861061-Present,861093,861243-Added,861312,862646,0.006122
