vehicle_set_id,number_of_vehicles,creation_time_laps,type
720151,15,44.447757,random
725924,15,38.060213,random
730909,15,42.234699,random
735936,15,48.693532,random
742589,15,42.396678,random
747737,15,49.048076,random
753962,15,45.119081,random
759794,15,45.199317,random
765578,15,41.263607,random
771223,15,45.207864,random
777588,15,38.355986,random
782025,15,45.90403,random
787689,15,44.131111,random
793439,15,44.21219,random
799106,15,46.655138,random
804893,15,44.45057,random
810614,15,42.323972,random
816409,15,34.15918,random
820816,15,45.289391,random
826431,15,40.411777,random
830682,15,31.02912,random
835164,15,34.41981,random
839648,15,33.485938,random
844210,15,54.852541,random
850950,15,47.220245,random
857103,15,34.521176,random
861616,15,54.289375,random
868800,15,50.479147,random
875512,15,42.751791,random
880908,15,33.283254,random
885183,15,42.758274,random
890596,15,40.170204,random
895542,15,35.524931,random
900594,15,40.548572,random
905959,15,34.220155,random
910718,15,39.13849,random
915907,15,47.17622,random
921606,15,36.641203,random
926510,15,38.671438,random
931804,15,47.276745,random
938319,15,44.613798,random
943814,15,38.656868,random
949197,15,43.765219,random
954980,15,52.1044,random
961743,15,41.665177,random
967381,15,37.250927,random
972563,15,40.777156,random
977815,15,33.418162,random
982114,15,45.386733,random
987640,15,44.879925,random
