Longitude;Latitude
-98.639114;29.523133
-98.731852;29.780515
-98.572819;29.518749
-99.070364;29.72409
-98.667373;36.804979
-98.589011;29.559309
-98.661775;29.548136
-98.670734;29.724327
-98.682524;29.437255
-98.655162;29.417875
-98.662466;29.517602
-99.446462;27.532121
-98.598732;29.482052
-98.663724;29.55067
-99.145296;30.041411
-99.334102;34.655093
-98.877238;30.279002
-99.502633;27.509832
-98.980017;31.726306
-98.600351;29.524757
-100.971892;35.552204
-100.973162;35.548269
-101.721929;34.190645
-101.486082;36.701074
-99.766617;32.403297
-99.50433;27.550056
-100.45423;31.456397
-100.500387;31.432212
-99.753782;32.401388
-97.878772;30.205242
-97.902608;31.116958
-97.934227;30.304097
-97.807953;30.112317
-97.82378;30.088506
-97.919325;29.882021
-97.800528;30.274519
-97.796731;32.758069
-97.797256;32.764346
-97.793577;30.203164
-97.832989;30.521156
-97.82222;30.226482
-97.831632;30.483343
-97.826795;30.454445
-97.848571;30.185342
-97.832749;30.481097
-97.802074;30.470197
-97.788021;30.164799
-97.920678;36.39772
-97.801618;30.283382
-97.802074;30.470197
-97.821739;30.227611
-97.840232;30.223088
-97.807227;32.758955
-98.121336;26.194445
-98.298983;26.226258
-98.220038;26.261546
-98.222329;26.249259
-97.988585;26.154818
-98.341426;26.214448
-97.961145;30.354678
-98.227543;30.753383
-98.282647;30.575079
-98.231526;26.194234
-98.218844;26.18727
-97.963071;29.865459
-98.2716;29.84428
-98.212079;26.238121
-98.270355;30.597245
-98.163299;26.338135
-98.12074;29.6872
-98.27141;26.096571
-98.175971;32.234685
-98.326603;29.570663
-98.204488;26.249677
-97.95195;30.364657
-98.259668;26.107576
-98.328727;29.561186
-98.178236;31.065626
-98.335709;26.253296
-98.279512;30.568564
-98.181205;32.232056
-98.239471;26.240975
-98.547266;29.572969
-98.528236;29.51647
-98.505613;29.5223
-98.518099;29.570365
-98.493472;29.614497
-98.511922;29.620035
-106.187787;31.681668
-106.267469;31.773347
-106.425969;31.873391
-98.479717;29.49314
-98.442695;29.578904
-98.459199;29.630323
-98.44321;29.797799
-98.470462;29.600674
-98.459219;29.487347
-98.466534;29.499743
-98.474571;29.528051
-98.392982;29.511803
-98.422411;34.621778
-101.905359;35.16157
-102.12123;32.020626
-101.894603;33.577824
-102.129611;32.034407
-101.922422;33.532662
-102.106933;32.023937
-101.922379;33.59213
-101.884665;35.163824
-101.922352;33.532792
-101.938566;35.243931
-101.902127;33.548824
-101.887982;33.519745
-102.129611;32.034407
-102.141698;32.016475
-76.537973;38.978291
-77.040811;39.009965
-76.49331;38.978436
-76.732654;38.977693
-77.350155;38.978928
-77.0275;38.985219
-77.400076;39.004631
-75.006954;39.805102
-75.46698;39.809495
-76.758321;37.308225
-76.455413;38.266291
-77.275445;38.631884
-77.336397;37.612445
-77.25735;38.651615
-76.519232;38.293154
-75.056263;38.423531
-77.35888;38.610456
-76.492339;37.102666
-77.310097;37.616538
-75.181124;38.595038
-77.333592;38.645054
-76.588825;38.543781
-77.416473;37.359722
-75.570351;38.373826
-75.054554;38.434589
-77.421044;38.474918
-77.341219;38.648624
-75.982295;36.848063
-76.233545;36.935067
-76.192082;36.918305
-76.395591;36.860619
-76.286941;36.868013
-76.162921;36.869941
-76.214339;36.852551
-76.393864;36.862594
-76.453812;37.023219
-76.139901;36.84348
-76.075314;36.910581
-76.334875;36.84061
-76.115894;36.838371
-76.132386;36.863011
-76.091769;36.841189
-76.452125;37.031885
-76.531309;36.952213
-76.419964;36.876893
-76.018852;36.851973
-76.407134;37.037881
-76.285835;36.843515
-76.018956;36.852089
-77.259957;38.905637
-77.223959;38.919995
-77.172119;39.36971
-76.568581;39.286585
-76.611601;39.299069
-76.544462;39.37184
-77.290919;38.747548
-77.211321;38.738728
-77.005336;38.762545
-77.059441;38.775151
-77.367191;38.661742
-75.134735;38.732549
-76.904941;38.762053
-77.040826;38.812625
-75.158333;38.732088
-77.191828;38.829828
-77.125881;38.720716
-77.265913;38.753248
-76.522602;39.39571
-76.748289;39.396952
-76.482771;39.398445
-76.510539;39.372843
-76.605058;39.404892
-74.563;39.404316
-76.542333;39.398537
-76.47153;39.372923
-76.76599;39.40946
-77.412729;39.03933
-77.004078;39.075548
-77.159289;39.062322
-77.105172;39.047075
-76.727415;39.061751
-77.1093;39.03948
-76.679185;39.035592
-77.127128;39.063653
-77.051396;39.051034
-77.048111;39.041665
-77.17934;38.933731
-77.344329;38.952177
-77.176214;38.935227
-77.377931;38.968414
-76.230279;36.775818
-76.285038;36.717601
-76.89997;34.86791
-76.417233;36.822781
-76.184658;36.532679
-76.234723;36.295459
-76.237319;36.816564
-76.189791;36.80476
-76.009068;36.762385
-76.242905;36.741383
-76.243022;36.289234
-76.166045;36.795253
-76.173779;36.800222
-75.656146;36.005352
-76.080958;36.793006
-77.393552;34.776836
-77.212772;34.683327
-76.26034;36.782068
-76.067213;36.820642
-76.150141;36.787467
-77.417053;39.426134
-76.979903;39.563956
-76.806782;39.441093
-77.437106;39.421727
-76.347704;39.534645
-75.000564;39.480526
-75.690797;39.470546
-76.347878;39.533067
-74.370534;39.583039
-76.621719;39.430059
-76.311614;39.46589
-77.218005;39.108899
-76.80707;39.102306
-76.557891;39.130393
-77.206996;39.096983
-76.565645;39.099304
-77.197608;39.155239
-77.172383;39.113878
-77.183485;39.117882
-77.23746;39.123346
-77.062558;39.151387
-77.352793;38.84905
-77.367303;38.86686
-76.907974;38.85421
-77.424648;38.894016
-77.139507;38.897472
-77.092646;38.884642
-77.203848;39.173033
-76.817841;39.207897
-77.246585;39.192243
-76.84291;39.244435
-74.703376;39.209514
-76.50239;39.272566
-76.88179;39.195574
-76.348698;39.71104
-75.076968;39.614929
-75.776935;39.666056
-75.034005;39.730505
-75.095373;39.757603
-75.683895;39.684824
-74.994565;39.744586
-75.075246;39.749576
-75.71587;39.605969
-75.829185;39.602983
-74.891992;39.76548
-77.32046;39.703281
-75.650631;39.68713
-84.336397;33.950418
-86.473628;33.946389
-83.409063;33.946133
-84.336695;33.951744
-86.046104;33.950587
-84.384561;33.920277
-84.379005;33.92049
-84.380561;33.920709
-84.185189;34.036348
-84.052925;34.037016
-84.387692;34.006649
-84.052925;34.037016
-84.269572;34.02426
-84.188431;34.029615
-84.251519;34.023881
