number_of_nodes,number_of_edges,time,number_of_path_edges,distance_m,start_id,end_id,datetime
1133978,1302658,1.1905946731567383,4482,218950.8931289902,320059521,7858344206,2020-09-28 18:50:04
1133978,1302658,0.39165711402893066,1075,115311.78961921789,21282686,353316324,2020-09-28 18:50:04
1133978,1302658,0.45860719680786133,2012,164375.37456071074,366949748,2498629997,2020-09-28 18:50:05
1133978,1302658,0.3743259906768799,2301,134386.26232905488,366364878,3178642167,2020-09-28 18:50:05
1133978,1302658,0.3563981056213379,3124,172822.70091445863,4174671706,1710685056,2020-09-28 18:50:05
1133978,1302658,0.14066433906555176,1383,90049.6689481419,2917157626,2915632896,2020-09-28 18:50:05
1133978,1302658,1.5329210758209229,4756,300040.84089936083,673512043,660434535,2020-09-28 18:50:07
1133978,1302658,0.47815394401550293,1864,184676.48964828876,257543320,255358532,2020-09-28 18:50:07
1133978,1302658,1.042163372039795,3388,259284.91094419765,440867512,364164108,2020-09-28 18:50:09
1133978,1302658,0.7684347629547119,3710,238983.69948065953,317309096,255995673,2020-09-28 18:50:09
1133978,1302658,0.35721898078918457,2297,138247.12188834065,2463574969,4436163233,2020-09-28 18:50:10
1133978,1302658,0.12343502044677734,848,45080.16682397994,1871228807,1623045633,2020-09-28 18:50:10
1133978,1302658,0.2353982925415039,1635,94374.75346911095,1851873014,2225604130,2020-09-28 18:50:10
1133978,1302658,0.5681171417236328,3523,200251.7755814654,6513378514,256115567,2020-09-28 18:50:11
1133978,1302658,0.9485838413238525,3753,246725.83216254794,6744668093,4395810326,2020-09-28 18:50:12
1133978,1302658,0.10648536682128906,599,32227.652890535257,25715157,288876202,2020-09-28 18:50:12
1133978,1302658,0.7457320690155029,4662,248367.90566561592,282356994,6266782943,2020-09-28 18:50:12
1133978,1302658,0.5228970050811768,2767,167077.0382757583,694577926,373134012,2020-09-28 18:50:13
1133978,1302658,0.36792993545532227,2088,130881.77819388566,3106159847,685963888,2020-09-28 18:50:13
1133978,1302658,0.3071751594543457,2227,169653.6653968996,310440655,848724041,2020-09-28 18:50:14
1133978,1302658,0.33468079566955566,1721,114833.450346434,4249909576,299597170,2020-09-28 18:50:14
1133978,1302658,0.40713071823120117,3615,191103.29556131596,316050352,1973172288,2020-09-28 18:50:14
1133978,1302658,0.2326669692993164,965,113298.8372168789,279755279,6829143807,2020-09-28 18:50:15
1133978,1302658,0.2752203941345215,2150,139287.1367016772,7430635112,2156161656,2020-09-28 18:50:15
1133978,1302658,0.45516252517700195,2246,149621.51453181083,251384311,282345128,2020-09-28 18:50:15
1133978,1302658,0.14168977737426758,768,35961.02364276665,6064068045,1365422727,2020-09-28 18:50:16
1133978,1302658,0.29733824729919434,2025,105714.59501318373,157117764,2084233984,2020-09-28 18:50:16
1133978,1302658,0.6500740051269531,4147,251323.28032067238,1037446734,379485221,2020-09-28 18:50:16
1133978,1302658,0.2811245918273926,2013,121914.6386063856,3055193063,1555455927,2020-09-28 18:50:17
1133978,1302658,0.419543981552124,2410,142278.6793096055,5050233489,5485424182,2020-09-28 18:50:17
1133978,1302658,0.08903002738952637,1368,67844.82749625744,34422305,907933545,2020-09-28 18:50:17
1133978,1302658,0.4403400421142578,2857,164683.08327560066,3042178851,95714435,2020-09-28 18:50:18
1133978,1302658,0.10933852195739746,733,68100.59066971681,320053917,5569885896,2020-09-28 18:50:18
1133978,1302658,0.7126419544219971,2532,181113.55648313864,6541948313,6783813404,2020-09-28 18:50:19
1133978,1302658,0.3275611400604248,2212,131311.0528948385,1932959270,457480693,2020-09-28 18:50:19
1133978,1302658,0.1248776912689209,1015,64540.54147042462,681928456,1446408440,2020-09-28 18:50:19
1133978,1302658,0.537531852722168,2617,172600.4988780928,325064623,354940004,2020-09-28 18:50:20
1133978,1302658,0.13141250610351562,1086,69946.957511458,3476372687,292119169,2020-09-28 18:50:20
1133978,1302658,0.9241883754730225,4092,278211.4622734505,360773748,253976560,2020-09-28 18:50:21
1133978,1302658,1.0719728469848633,5150,296689.18926719506,371319410,6969969997,2020-09-28 18:50:22
1133978,1302658,2.0696210861206055,5342,321834.04548461933,1782780932,264155153,2020-09-28 18:50:24
1133978,1302658,0.1199185848236084,856,55850.938659720996,2329070639,6142383255,2020-09-28 18:50:24
1133978,1302658,0.5370340347290039,2937,181742.93134289337,5080758127,300612566,2020-09-28 18:50:24
1133978,1302658,0.3589053153991699,2501,143450.7787554838,6856283209,1263737414,2020-09-28 18:50:25
1133978,1302658,0.552539587020874,3294,196325.14144885473,294253003,3280486239,2020-09-28 18:50:25
1133978,1302658,0.13750910758972168,1437,134477.9411172959,7178706980,7442483876,2020-09-28 18:50:26
1133978,1302658,0.24972081184387207,955,96965.50182056901,7677685277,1645290063,2020-09-28 18:50:26
1133978,1302658,1.25783109664917,3137,241357.80355553416,6625056235,6424304102,2020-09-28 18:50:27
1133978,1302658,0.17436456680297852,2733,103401.6952701621,270953814,585659100,2020-09-28 18:50:27
1133978,1302658,1.8321421146392822,5776,312345.94340302737,382951017,2015918632,2020-09-28 18:50:29
1133978,1302658,0.2442765235900879,1140,101999.00293640819,5186013059,26240697,2020-09-28 18:50:29
1133978,1302658,0.7162275314331055,3121,192340.7737165991,6672514853,199385305,2020-09-28 18:50:30
1133978,1302658,0.2276003360748291,2016,111807.98106799538,1737575262,6831091999,2020-09-28 18:50:30
1133978,1302658,1.0127956867218018,5069,290246.7930169414,778150582,388688832,2020-09-28 18:50:31
1133978,1302658,0.7548618316650391,4349,241412.2768197856,502574725,274691650,2020-09-28 18:50:32
1133978,1302658,0.5165302753448486,2482,188145.9296570159,7293323402,6845395924,2020-09-28 18:50:33
1133978,1302658,1.0473027229309082,2215,229928.7503691464,434151749,3722234892,2020-09-28 18:50:34
1133978,1302658,0.1543433666229248,1297,92398.10878989246,968848288,5787088835,2020-09-28 18:50:34
1133978,1302658,0.7340800762176514,2788,183367.5398204604,1831739659,247926708,2020-09-28 18:50:35
1133978,1302658,0.17937088012695312,1594,88233.63579713629,262352287,34158381,2020-09-28 18:50:35
1133978,1302658,0.5087659358978271,3178,189383.77836429983,6919806584,291471972,2020-09-28 18:50:35
1133978,1302658,1.2303900718688965,3909,290311.649039043,6268497807,2449579171,2020-09-28 18:50:36
1133978,1302658,1.369260549545288,4240,291549.524298193,1392622731,302591787,2020-09-28 18:50:38
1133978,1302658,0.5342161655426025,1568,119761.3400544109,3896497136,277777751,2020-09-28 18:50:38
1133978,1302658,0.22772479057312012,1617,76430.58798506802,1839435196,2339589841,2020-09-28 18:50:39
1133978,1302658,0.2347571849822998,1356,115840.25417583459,56347400,2291288228,2020-09-28 18:50:39
1133978,1302658,0.2348496913909912,1768,139184.70013523637,648227252,4616497764,2020-09-28 18:50:39
1133978,1302658,0.3459131717681885,2189,125014.9863141438,59773148,726595848,2020-09-28 18:50:39
1133978,1302658,1.0346992015838623,4136,293727.8528619296,246677830,303978257,2020-09-28 18:50:40
1133978,1302658,1.2055003643035889,5550,280312.0137344631,1412217193,5292418920,2020-09-28 18:50:42
1133978,1302658,0.14348387718200684,1927,113314.57636665947,5888837201,1195586874,2020-09-28 18:50:42
1133978,1302658,0.23551440238952637,2362,88891.8048239793,60610932,1909104346,2020-09-28 18:50:42
1133978,1302658,0.48801732063293457,2750,209805.49364361868,4504497551,909410981,2020-09-28 18:50:43
1133978,1302658,0.4253826141357422,3210,179425.73124771097,1924096895,257913268,2020-09-28 18:50:43
1133978,1302658,0.7553896903991699,3681,253874.5083308328,274816791,2985115349,2020-09-28 18:50:44
1133978,1302658,0.22329020500183105,2752,178323.9343094462,456384925,5554936791,2020-09-28 18:50:44
1133978,1302658,0.4594848155975342,1705,165667.9011600401,6289460423,917341850,2020-09-28 18:50:44
1133978,1302658,1.885422706604004,6890,357192.60492347373,639866032,30954893,2020-09-28 18:50:46
1133978,1302658,0.7673649787902832,3514,221455.36172473684,56304521,1911707277,2020-09-28 18:50:47
1133978,1302658,1.7036347389221191,5254,308594.5972602637,560721401,736140453,2020-09-28 18:50:49
1133978,1302658,0.6995875835418701,4207,240025.43773872132,54801380,271386560,2020-09-28 18:50:50
1133978,1302658,0.8475561141967773,4019,224453.4366544436,1038060719,21428730,2020-09-28 18:50:50
1133978,1302658,0.6035280227661133,2388,131599.0663918161,1204066333,98758425,2020-09-28 18:50:51
1133978,1302658,0.18987607955932617,1024,59438.84453239533,847400358,2588428686,2020-09-28 18:50:51
1133978,1302658,0.384584903717041,1956,167981.33441880386,5771834019,782125253,2020-09-28 18:50:52
1133978,1302658,0.8936097621917725,4404,217875.76083782615,1985815073,30530225,2020-09-28 18:50:52
1133978,1302658,0.41826701164245605,1653,165474.8384310071,1357836907,1225177237,2020-09-28 18:50:53
1133978,1302658,1.6382529735565186,4605,286296.57809071074,262376640,746711373,2020-09-28 18:50:55
1133978,1302658,0.34429407119750977,2461,114689.22755429454,7686875590,7402960953,2020-09-28 18:50:55
1133978,1302658,0.41460132598876953,1489,160817.328723331,7903742195,6763946641,2020-09-28 18:50:55
1133978,1302658,0.23436260223388672,1586,83923.94025145491,4539709092,5337484947,2020-09-28 18:50:56
1133978,1302658,0.6712005138397217,4292,260275.64051360873,324680120,1197617201,2020-09-28 18:50:56
1133978,1302658,0.2314777374267578,1880,109474.660676728,3178637135,1991173174,2020-09-28 18:50:56
1133978,1302658,0.14608502388000488,1311,41125.188226149425,5876424605,267021118,2020-09-28 18:50:57
1133978,1302658,0.21381568908691406,1979,123299.76682525052,1404600691,254476164,2020-09-28 18:50:57
1133978,1302658,0.99208664894104,3859,219532.8516946853,102376014,439260790,2020-09-28 18:50:58
1133978,1302658,0.1656961441040039,2038,162119.8244621514,30149327,5064904153,2020-09-28 18:50:58
1133978,1302658,0.16421961784362793,1193,48659.28611482553,30327045,2441430474,2020-09-28 18:50:58
1133978,1302658,0.05978822708129883,831,49473.04005034508,1526122005,271404546,2020-09-28 18:50:58
1133978,1302658,0.27440619468688965,2074,125217.87422777423,835227518,3796620769,2020-09-28 18:50:59
1133978,1302658,0.0970146656036377,1206,91885.93580257191,3740930087,5449194205,2020-09-28 18:50:59
1133978,1302658,0.46126818656921387,1902,138060.28598656142,2298445797,469415046,2020-09-28 18:50:59
1133978,1302658,0.25286865234375,1690,100391.08565766727,321783162,600028982,2020-09-28 18:50:59
1133978,1302658,0.8080065250396729,3796,232108.49265971975,795238047,6687284619,2020-09-28 18:51:00
1133978,1302658,0.9770259857177734,3297,218477.49517838622,89976552,246833886,2020-09-28 18:51:01
1133978,1302658,0.2680659294128418,1682,118808.9688693148,2000136841,669095273,2020-09-28 18:51:01
1133978,1302658,0.8244829177856445,3403,215007.87561092837,486571559,443747003,2020-09-28 18:51:02
1133978,1302658,0.9160394668579102,4691,208388.08616986335,26048938,4770368312,2020-09-28 18:51:03
1133978,1302658,0.12790822982788086,977,61137.77219261575,2420841015,5526205490,2020-09-28 18:51:03
1133978,1302658,0.7007772922515869,2877,188219.12788171487,21518317,3507450512,2020-09-28 18:51:04
