number_of_nodes,number_of_edges,time,number_of_path_edges,distance_m,start_id,end_id,datetime
5450,10962,0.18086791038513184,59,148477.00996486543,271009714,495899,2020-09-28 19:31:23
5450,10962,0.0710456371307373,152,256175.20807735246,140270194,192590679,2020-09-28 19:31:23
5450,10962,0.026720285415649414,100,218488.155537198,599661009,250954809,2020-09-28 19:31:23
5450,10962,0.05005478858947754,109,290635.9478544672,1659476578,2367010966,2020-09-28 19:31:23
5450,10962,0.03882336616516113,149,309932.56784388446,5632238197,253967400,2020-09-28 19:31:23
5450,10962,0.022228002548217773,58,86820.6476290963,1529846131,387843608,2020-09-28 19:31:23
5450,10962,0.0255887508392334,71,97301.92818035881,122688402,69198574,2020-09-28 19:31:23
5450,10962,0.020718097686767578,19,12621.652770357907,2550225725,139902,2020-09-28 19:31:23
5450,10962,0.023642778396606445,51,89659.37379263029,1295681674,2540355270,2020-09-28 19:31:23
5450,10962,0.02571582794189453,45,65334.19236842148,866937164,340407953,2020-09-28 19:31:23
5450,10962,0.024746179580688477,56,109489.51287940156,26881660,30392222,2020-09-28 19:31:23
5450,10962,0.030035972595214844,89,210794.3649546038,254446376,261587489,2020-09-28 19:31:23
5450,10962,0.025295257568359375,112,144493.3389004848,261039252,2336973851,2020-09-28 19:31:23
5450,10962,0.02158355712890625,70,125652.95350175227,31494084,254450153,2020-09-28 19:31:23
5450,10962,0.0366358757019043,173,291584.9377356194,130439029,4116988835,2020-09-28 19:31:23
5450,10962,0.021611690521240234,20,52353.5943704394,60658264,1646990871,2020-09-28 19:31:23
5450,10962,0.025646448135375977,86,183262.1610936994,1276759436,147901817,2020-09-28 19:31:23
5450,10962,0.016286611557006836,44,91810.97254455739,1005480786,21070456,2020-09-28 19:31:23
5450,10962,0.01894092559814453,138,210771.4506869852,1415144613,45351240,2020-09-28 19:31:23
5450,10962,0.02090167999267578,80,170327.8266394304,283444508,2027057844,2020-09-28 19:31:23
