number_of_nodes,number_of_edges,time,number_of_path_edges,distance_m,start_id,end_id,datetime
337848,364443,0.13346481323242188,887,45443.790156848125,5673474641,3941201245,2020-09-29 12:51:25
337848,364443,0.14313578605651855,1328,44593.2208331889,293202420,50071625,2020-09-29 12:51:25
337848,364443,0.3340036869049072,2496,104945.6844900063,2115063210,261076063,2020-09-29 12:51:26
337848,364443,0.18038487434387207,1802,69376.37122764024,2409288263,1534497495,2020-09-29 12:51:26
337848,364443,0.11896300315856934,967,36888.747051288374,288799254,1271747942,2020-09-29 12:51:26
337848,364443,0.03327131271362305,846,34912.776152776096,272699114,340265721,2020-09-29 12:51:26
337848,364443,0.05527210235595703,1003,25688.394960437225,6018504635,2299582898,2020-09-29 12:51:29
337848,364443,0.14537763595581055,1219,40314.87304769729,74029094,295295718,2020-09-29 12:51:29
337848,364443,0.11449527740478516,1299,43956.154453259485,5368404958,2406017560,2020-09-29 12:51:30
337848,364443,0.30230164527893066,1647,68703.56382865262,2239533886,270287397,2020-09-29 12:51:31
337848,364443,0.08805274963378906,1378,41891.072586658964,2004133136,4019843742,2020-09-29 12:51:32
337848,364443,0.07069659233093262,2079,59502.82882483467,457131209,341258763,2020-09-29 12:51:32
337848,364443,0.07482552528381348,616,13985.31993044659,295717930,277287362,2020-09-29 12:51:32
337848,364443,0.06136965751647949,1025,32889.975576092686,388230047,5579041152,2020-09-29 12:51:32
337848,364443,0.1511821746826172,1380,46321.171619923225,281395073,3810018304,2020-09-29 12:51:33
337848,364443,0.23662495613098145,829,43694.88152622966,2276936799,1501273021,2020-09-29 12:51:33
337848,364443,0.18471336364746094,1888,66505.30944431825,2327493585,2278483295,2020-09-29 12:51:36
337848,364443,0.1379539966583252,1195,51961.100552048774,769207009,1173295817,2020-09-29 12:51:36
337848,364443,0.04741549491882324,1010,44967.3654816322,1530722342,6030876597,2020-09-29 12:51:36
337848,364443,0.1620168685913086,1213,45230.28751237585,4767955577,1548969131,2020-09-29 12:51:36
337848,364443,0.0889894962310791,1375,55452.168405164586,4043576255,3449050816,2020-09-29 12:51:38
337848,364443,0.0970149040222168,1911,59724.18043881405,674776231,259198280,2020-09-29 12:51:39
337848,364443,0.03651738166809082,743,20126.011843317152,4760638877,364882282,2020-09-29 12:51:39
337848,364443,0.16634345054626465,1176,44148.96846842252,2133006340,1236519836,2020-09-29 12:51:39
337848,364443,0.10494637489318848,937,34049.195740280105,2325961860,1547252481,2020-09-29 12:51:39
337848,364443,0.07270073890686035,964,34904.573663590156,275592288,2054869572,2020-09-29 12:51:40
337848,364443,0.10422849655151367,1676,55132.17793566099,1202040689,393422424,2020-09-29 12:51:40
337848,364443,0.040697336196899414,963,31588.52494229483,315901350,1511603900,2020-09-29 12:51:40
337848,364443,0.20647287368774414,1761,74279.94734541995,261588834,420763764,2020-09-29 12:51:41
337848,364443,0.16901707649230957,1389,46151.515334936084,469117117,261591026,2020-09-29 12:51:42
337848,364443,0.1920173168182373,1659,66458.27479700334,562955046,2079539918,2020-09-29 12:51:43
337848,364443,0.08371901512145996,1376,47031.270654024986,5433391501,2456837586,2020-09-29 12:51:44
337848,364443,0.10211586952209473,1351,47011.23621020521,276831137,2731923498,2020-09-29 12:51:44
337848,364443,0.08342528343200684,828,37234.9145763057,1274861653,687501240,2020-09-29 12:51:45
