number_of_nodes,number_of_edges,time,number_of_path_edges,distance_m,start_id,end_id,datetime
807,1757,0.17682695388793945,37,49281.67771840384,1555494272,963521425,2020-09-29 13:28:20
807,1757,0.05789446830749512,50,59723.479310448354,446095919,1482351270,2020-09-29 13:28:20
807,1757,0.025032520294189453,10,6055.551804458513,259449272,2073937490,2020-09-29 13:28:20
807,1757,0.028799772262573242,39,29959.94821344549,1530751194,108008608,2020-09-29 13:28:20
807,1757,0.024355411529541016,4,478.5921330741688,108231616,302269831,2020-09-29 13:28:20
807,1757,0.021689653396606445,44,21517.88775952199,108377933,370589299,2020-09-29 13:28:20
807,1757,0.02402973175048828,42,54956.27633053335,1580680255,2442714505,2020-09-29 13:28:20
807,1757,0.02183389663696289,49,69114.4145520384,25695063,268623844,2020-09-29 13:28:20
807,1757,0.021289825439453125,27,38301.01192251794,261650290,10535529,2020-09-29 13:28:20
807,1757,0.021517515182495117,28,26969.927376258816,276173126,1173295301,2020-09-29 13:28:20
807,1757,0.01900649070739746,24,40268.12568045385,1521973658,3715054550,2020-09-29 13:28:20
807,1757,0.01854419708251953,11,16930.336786447853,267634357,2520289062,2020-09-29 13:28:20
807,1757,0.02063155174255371,67,36517.38651559104,108008066,344051619,2020-09-29 13:28:21
807,1757,0.018303632736206055,12,7998.491353331952,1519388490,102826693,2020-09-29 13:28:21
807,1757,0.019903182983398438,38,65132.10025219445,262198410,1173296017,2020-09-29 13:28:21
807,1757,0.019708633422851562,25,38688.277000330476,5274142267,3670322258,2020-09-29 13:28:21
807,1757,0.01838064193725586,23,31651.570676929536,273107214,339145102,2020-09-29 13:28:21
807,1757,0.016533374786376953,60,56882.07639934559,311525002,278238879,2020-09-29 13:28:21
807,1757,0.01893162727355957,27,52603.63847924156,3457575249,1521973658,2020-09-29 13:28:21
807,1757,0.018199682235717773,51,28125.15207614484,1570955606,446095868,2020-09-29 13:28:21
807,1757,0.016095876693725586,26,26998.96393348354,273104206,1173021592,2020-09-29 13:28:21
807,1757,0.015724897384643555,11,1239.6013924050135,253061381,130234928,2020-09-29 13:28:21
807,1757,0.014931917190551758,33,18165.25499930631,259035211,319471654,2020-09-29 13:28:21
807,1757,0.015540599822998047,49,30055.324110440557,261650297,635030289,2020-09-29 13:28:21
807,1757,0.016085386276245117,41,64556.98233568903,259818712,267103925,2020-09-29 13:28:21
807,1757,0.01581549644470215,43,15427.546678907782,265086983,273107214,2020-09-29 13:28:21
807,1757,0.01806640625,70,43895.48466361071,1754334610,1533146769,2020-09-29 13:28:21
807,1757,0.01568317413330078,38,65169.574384124826,1538781889,259818712,2020-09-29 13:28:21
807,1757,0.01633930206298828,57,49556.78004389428,251784780,311525006,2020-09-29 13:28:21
807,1757,0.018281936645507812,57,84734.31788955993,1850648554,3143493505,2020-09-29 13:28:21
807,1757,0.02145218849182129,22,33579.87317383459,1521938267,1633124797,2020-09-29 13:28:21
807,1757,0.01850128173828125,24,35455.85030738859,536455,253041416,2020-09-29 13:28:21
807,1757,0.016450881958007812,48,24010.548174891297,1582690452,1824103313,2020-09-29 13:28:21
807,1757,0.015566825866699219,52,25274.593155526927,108378222,393974188,2020-09-29 13:28:21
807,1757,0.015468835830688477,39,47479.258420370075,269182526,649072511,2020-09-29 13:28:21
807,1757,0.017047405242919922,2,113.8268983216467,2174753809,130321394,2020-09-29 13:28:21
807,1757,0.013819217681884766,42,51089.68634960429,2442543922,83803459,2020-09-29 13:28:21
807,1757,0.01398324966430664,45,29453.425332616847,259449267,108009059,2020-09-29 13:28:21
807,1757,0.014863967895507812,29,28456.582727138666,96940646,631756175,2020-09-29 13:28:21
807,1757,0.017383575439453125,68,47477.46193125948,1173004249,1561525648,2020-09-29 13:28:21
807,1757,0.01581883430480957,12,15187.97267365669,1519388601,1173004219,2020-09-29 13:28:21
807,1757,0.014270305633544922,31,35170.64712615507,500680,169542473,2020-09-29 13:28:21
807,1757,0.013828039169311523,42,67465.65591062349,622574,1195459138,2020-09-29 13:28:21
807,1757,0.015045404434204102,70,72902.31448968865,1850648554,267634288,2020-09-29 13:28:21
807,1757,0.014905452728271484,32,58942.58207832781,1531743787,2442714505,2020-09-29 13:28:21
807,1757,0.014998197555541992,34,50019.21078760026,267103889,298856959,2020-09-29 13:28:21
807,1757,0.01589798927307129,50,36092.28356029939,362458584,33743025,2020-09-29 13:28:21
807,1757,0.014517545700073242,18,7067.704669817236,254401463,108231936,2020-09-29 13:28:21
807,1757,0.01529383659362793,29,34623.043005503,268640236,247681373,2020-09-29 13:28:21
807,1757,0.017240285873413086,23,11966.427691842977,302268955,1624556839,2020-09-29 13:28:21
807,1757,0.01744222640991211,31,63196.289212613105,261068008,1519388470,2020-09-29 13:28:21
807,1757,0.01518559455871582,19,2259.4203134697273,253059803,1393976503,2020-09-29 13:28:21
807,1757,0.01379704475402832,36,31313.245711501575,1519388453,1581015668,2020-09-29 13:28:21
807,1757,0.015388727188110352,42,18692.534882490323,1133910565,253061381,2020-09-29 13:28:21
807,1757,0.0145111083984375,58,34232.8160781916,1961230760,1530751194,2020-09-29 13:28:21
807,1757,0.0150299072265625,34,22130.4710808822,281432002,339074610,2020-09-29 13:28:21
807,1757,0.016243696212768555,60,26153.140743364478,1195765283,273107230,2020-09-29 13:28:21
807,1757,0.014392614364624023,59,39368.18096723179,119366851,2491955622,2020-09-29 13:28:21
807,1757,0.012441396713256836,17,28376.922183437615,264515516,1538781725,2020-09-29 13:28:21
807,1757,0.013292074203491211,27,38143.729593197706,2579197414,269014374,2020-09-29 13:28:22
807,1757,0.015984535217285156,36,36981.20478965898,267634288,252791219,2020-09-29 13:28:22
807,1757,0.014987468719482422,43,37187.806851879,418230871,1581015647,2020-09-29 13:28:22
807,1757,0.01721644401550293,37,59840.45949894266,34592757,259035208,2020-09-29 13:28:22
807,1757,0.01601243019104004,23,32404.282695669306,279336263,108008269,2020-09-29 13:28:22
807,1757,0.015467166900634766,73,30762.713993437912,273118571,1521767590,2020-09-29 13:28:22
807,1757,0.013268470764160156,44,53912.13104316696,173971457,1482351270,2020-09-29 13:28:22
807,1757,0.015032291412353516,37,60019.37375148551,1519388420,269107522,2020-09-29 13:28:22
807,1757,0.015261650085449219,52,32381.237324327296,287266409,937150901,2020-09-29 13:28:22
807,1757,0.014515161514282227,23,25433.807792916323,84744580,1519388490,2020-09-29 13:28:22
807,1757,0.012688875198364258,25,10338.538606485103,253061381,252791233,2020-09-29 13:28:22
807,1757,0.015953540802001953,27,41247.9933610708,264515424,558922319,2020-09-29 13:28:22
807,1757,0.013448238372802734,53,35352.93537741597,2714604956,303218714,2020-09-29 13:28:22
807,1757,0.013447284698486328,26,30961.80513164098,96940646,408471949,2020-09-29 13:28:22
807,1757,0.014287471771240234,20,12944.706541661948,264515424,130234928,2020-09-29 13:28:22
807,1757,0.013125181198120117,34,24569.563390118576,264124407,108009287,2020-09-29 13:28:22
807,1757,0.012994527816772461,53,27503.06843462523,2278763554,4425648417,2020-09-29 13:28:22
807,1757,0.013612508773803711,12,16912.405602949246,386314780,378761928,2020-09-29 13:28:22
807,1757,0.011966466903686523,37,31224.92717251239,1519388453,318306442,2020-09-29 13:28:22
807,1757,0.013109207153320312,30,59725.125960695645,1521767668,1237365778,2020-09-29 13:28:22
807,1757,0.014801979064941406,15,8119.708586819635,262498766,276214569,2020-09-29 13:28:22
807,1757,0.016402482986450195,25,17825.266787870554,1519388287,130234925,2020-09-29 13:28:22
807,1757,0.014119625091552734,42,36627.846257905396,265086983,1173295599,2020-09-29 13:28:22
807,1757,0.014963388442993164,79,55449.40335996723,1173179812,937150901,2020-09-29 13:28:22
807,1757,0.012133359909057617,20,18011.277946124777,268091366,130234928,2020-09-29 13:28:22
